w,G
0.000000000000000000e+00,2.507164373080627584e+01
1.000000000000000021e-02,7.079181178690125975e+00
2.000000000000000042e-02,6.916802951109473518e+00
2.999999999999999889e-02,6.971190072694579243e+00
4.000000000000000083e-02,6.950620039772733350e+00
5.000000000000000278e-02,6.927055007648101892e+00
5.999999999999999778e-02,6.200783848630860184e+00
7.000000000000000666e-02,6.409332531603828542e+00
8.000000000000000167e-02,5.940038075734545231e+00
8.999999999999999667e-02,7.479699063946697812e+00
1.000000000000000056e-01,5.950392095070593079e+00
1.100000000000000006e-01,6.023973856990543219e+00
1.199999999999999956e-01,6.202318432663115111e+00
1.300000000000000044e-01,4.278430349147631873e+00
1.400000000000000133e-01,4.681271036983389422e+00
1.499999999999999944e-01,5.444008765035387221e+00
1.600000000000000033e-01,2.792803280748245243e+00
1.700000000000000122e-01,3.558263523259144634e+00
1.799999999999999933e-01,4.672894231492044526e+00
1.900000000000000022e-01,5.806292891578387128e+00
2.000000000000000111e-01,2.736481777889335554e+00
2.099999999999999922e-01,5.757506750761123726e+00
2.200000000000000011e-01,1.929163647803261128e+01
2.300000000000000100e-01,6.786861243255994935e+00
2.399999999999999911e-01,3.772037889870709648e-01
2.500000000000000000e-01,5.599372163791103141e+00
2.600000000000000089e-01,6.186573937919050081e+00
2.700000000000000178e-01,1.329325408797133967e+01
2.800000000000000266e-01,6.011557973447246184e+00
2.899999999999999800e-01,3.880590898809993750e+00
2.999999999999999889e-01,5.857489161711016301e+00
3.099999999999999978e-01,5.571041811692887258e+00
3.200000000000000067e-01,4.142304157011412258e+01
3.300000000000000155e-01,3.883287703948561376e+00
3.400000000000000244e-01,2.007344746873982544e+01
3.500000000000000333e-01,2.947922780627347095e+01
3.599999999999999867e-01,3.257134329515327220e+00
3.699999999999999956e-01,2.760549588157801271e-02
3.800000000000000044e-01,4.514268082561366136e+00
3.900000000000000133e-01,1.002672427207232175e+01
4.000000000000000222e-01,2.172586862341424396e+00
4.100000000000000311e-01,5.899374016518998509e+00
4.199999999999999845e-01,4.782455481556821653e+00
4.299999999999999933e-01,6.036265907796286356e+00
4.400000000000000022e-01,9.102541113054384425e+01
4.500000000000000111e-01,4.183165750336025113e+00
4.600000000000000200e-01,2.904574645354597973e+00
4.700000000000000289e-01,3.530435376105958589e+00
4.799999999999999822e-01,5.922239180097743194e+00
4.899999999999999911e-01,6.212353577740588939e+00
5.000000000000000000e-01,2.435992243571011073e+01
5.100000000000000089e-01,2.236713800049948730e+01
5.200000000000000178e-01,6.647614516267795537e+00
5.300000000000000266e-01,2.669567748001566088e+01
5.400000000000000355e-01,5.845178298829646124e+00
5.500000000000000444e-01,6.975307900015529583e+00
5.600000000000000533e-01,6.167376189132959929e+00
5.700000000000000622e-01,2.208213607040094573e+01
5.799999999999999600e-01,6.059327054089354014e+00
5.899999999999999689e-01,6.792652300275769939e+00
5.999999999999999778e-01,4.472475311024675548e+00
6.099999999999999867e-01,6.360554873303175150e+00
6.199999999999999956e-01,6.630778228330459712e+00
6.300000000000000044e-01,5.799106540296907042e+01
6.400000000000000133e-01,6.136723154751383191e+00
6.500000000000000222e-01,6.222617121404026896e+00
6.600000000000000311e-01,6.154092030800503466e+01
6.700000000000000400e-01,6.617208320079244643e+00
6.800000000000000488e-01,6.513546691050155601e+00
6.900000000000000577e-01,2.589349446589178427e+00
7.000000000000000666e-01,1.830595348234313802e+00
7.099999999999999645e-01,6.038975283417697959e+00
7.199999999999999734e-01,3.296400065249879940e+00
7.299999999999999822e-01,8.735433203254139300e-01
7.399999999999999911e-01,5.731670924461729655e+00
7.500000000000000000e-01,2.313566750698460339e+01
7.600000000000000089e-01,5.825035850908806268e+00
7.700000000000000178e-01,5.310501831866241140e+00
7.800000000000000266e-01,1.812643839483818908e+00
7.900000000000000355e-01,5.320098443192073034e+00
8.000000000000000444e-01,1.426851679067891610e+01
8.100000000000000533e-01,5.926801425803911449e+00
8.200000000000000622e-01,4.876347360202726300e+00
8.300000000000000711e-01,6.205804175274617585e+00
8.399999999999999689e-01,9.740158482724069700e+00
8.499999999999999778e-01,5.241719210133038764e+00
8.599999999999999867e-01,1.888600979381132028e+00
8.699999999999999956e-01,5.607271735994343587e+00
8.800000000000000044e-01,6.110658980712679877e+00
8.900000000000000133e-01,2.893900527195305550e+00
9.000000000000000222e-01,6.265667966780744003e+00
9.100000000000000311e-01,3.318474378990135865e+00
9.200000000000000400e-01,6.036370817197822092e+00
9.300000000000000488e-01,3.960007007953932145e+01
9.400000000000000577e-01,6.478666289123625077e+00
9.500000000000000666e-01,6.459988438863437210e+00
9.599999999999999645e-01,2.054527374828900221e+01
9.699999999999999734e-01,5.785995659147577186e+00
9.799999999999999822e-01,6.261219510072079331e+00
9.899999999999999911e-01,5.591720554246569108e+00
1.000000000000000000e+00,5.884613703348707148e+00
1.010000000000000009e+00,6.324615918052904462e+00
1.020000000000000018e+00,6.257744873829945043e+00
1.030000000000000027e+00,6.047571492370943602e+00
1.040000000000000036e+00,6.394534416732531312e+00
1.050000000000000044e+00,6.431449070205861318e+00
1.060000000000000053e+00,6.295620681785420558e+00
1.070000000000000062e+00,6.306711152006216459e+00
1.080000000000000071e+00,6.254318863620790481e+00
1.090000000000000080e+00,6.216592651703329864e+00
1.100000000000000089e+00,6.188308263634933581e+00
1.110000000000000098e+00,6.182439893298021794e+00
1.120000000000000107e+00,6.366643212185540079e+00
1.130000000000000115e+00,6.068153560566604376e+00
1.140000000000000124e+00,5.974441823266174900e+00
1.150000000000000133e+00,5.066126886168254018e+00
1.159999999999999920e+00,5.293090609690811910e+00
1.169999999999999929e+00,4.401002863406064947e-01
1.179999999999999938e+00,7.627521960863728623e+01
1.189999999999999947e+00,4.553392110036187823e+00
1.199999999999999956e+00,7.573308032349474139e+00
1.209999999999999964e+00,5.192890442970453435e+00
1.219999999999999973e+00,1.781769897074412246e-01
1.229999999999999982e+00,1.822074218234173149e-01
1.239999999999999991e+00,5.407352464305826167e+00
1.250000000000000000e+00,2.182981338567032026e+00
1.260000000000000009e+00,5.024095042576727899e+00
1.270000000000000018e+00,2.469588505662120959e+00
1.280000000000000027e+00,5.037853562177929234e+00
1.290000000000000036e+00,3.727009753578004236e+00
1.300000000000000044e+00,5.185264574111585034e+00
1.310000000000000053e+00,4.338996001144221459e+00
1.320000000000000062e+00,3.575206294645920657e+00
1.330000000000000071e+00,5.308845203313625305e+00
1.340000000000000080e+00,1.597256453873652760e+01
1.350000000000000089e+00,2.818576767751399093e+00
1.360000000000000098e+00,1.318834313820460125e+00
1.370000000000000107e+00,5.756900628634105743e+01
1.380000000000000115e+00,4.013788967602926050e+01
1.390000000000000124e+00,5.152393782404767641e+00
1.400000000000000133e+00,5.320298980738228600e+00
1.409999999999999920e+00,1.165366353603181526e+00
1.419999999999999929e+00,5.267922458827906773e+00
1.429999999999999938e+00,5.345392049349350749e+00
1.439999999999999947e+00,5.261575173183564047e+00
1.449999999999999956e+00,1.665858049815017949e+01
1.459999999999999964e+00,5.322328646146710973e+00
1.469999999999999973e+00,4.758284708343331282e+00
1.479999999999999982e+00,5.275161368374085669e+00
1.489999999999999991e+00,5.274784908575916198e+00
1.500000000000000000e+00,5.342047972243816112e+00
1.510000000000000009e+00,4.443583982612306471e+00
1.520000000000000018e+00,5.462562480729494574e+00
1.530000000000000027e+00,5.515466428805198440e+00
1.540000000000000036e+00,5.446273158802886982e+00
1.550000000000000044e+00,5.455812017247443357e+00
1.560000000000000053e+00,5.497757906804694450e+00
1.570000000000000062e+00,5.506234653769322307e+00
1.580000000000000071e+00,5.561414238615614458e+00
1.590000000000000080e+00,5.517457479940624410e+00
1.600000000000000089e+00,5.467852146078576503e+00
1.610000000000000098e+00,5.324431225704721271e+00
1.620000000000000107e+00,5.264722218935441234e+00
1.630000000000000115e+00,5.388084352104510089e+00
1.640000000000000124e+00,5.365134246884604607e+00
1.650000000000000133e+00,5.238281382812851383e+00
1.660000000000000142e+00,5.258315216306060691e+00
1.669999999999999929e+00,5.321500649338783973e+00
1.679999999999999938e+00,4.836594261121578420e+00
1.689999999999999947e+00,4.929674648851850804e+00
1.699999999999999956e+00,4.937062017200839037e+00
1.709999999999999964e+00,4.365468064811724780e+00
1.719999999999999973e+00,1.371073163621367996e+01
1.729999999999999982e+00,4.478284755202060374e+00
1.739999999999999991e+00,3.239589669049966147e+00
1.750000000000000000e+00,3.893929602543876101e+00
1.760000000000000009e+00,8.611021569577248513e+00
1.770000000000000018e+00,4.094391916073007565e+00
1.780000000000000027e+00,1.938213121138951722e+00
1.790000000000000036e+00,2.138831436965372479e+00
1.800000000000000044e+00,8.084488120675560197e+01
1.810000000000000053e+00,4.423024687850263703e+00
1.820000000000000062e+00,1.415905029674195603e+01
1.830000000000000071e+00,3.913706270631838180e+00
1.840000000000000080e+00,1.287094889646446916e+00
1.850000000000000089e+00,4.521245166865647036e+00
1.860000000000000098e+00,2.775227570177774439e+00
1.870000000000000107e+00,3.791013420260015643e+00
1.880000000000000115e+00,4.602665385575651413e+00
1.890000000000000124e+00,4.539008545465364364e+00
1.900000000000000133e+00,3.746002965033285448e-01
1.910000000000000142e+00,3.049782481057492944e+01
1.919999999999999929e+00,4.484351517789928465e+00
1.929999999999999938e+00,4.696638634305584148e+00
1.939999999999999947e+00,4.715791464488347629e+00
1.949999999999999956e+00,1.514083827237227009e-01
1.959999999999999964e+00,3.835565915506047752e+00
1.969999999999999973e+00,4.551717310543947903e+00
1.979999999999999982e+00,4.935623528802962623e-02
1.989999999999999991e+00,4.227497531544211817e+00
2.000000000000000000e+00,4.531239747974388443e+00
2.010000000000000231e+00,4.561323854197028460e+00
2.020000000000000018e+00,4.479196218075684577e+00
2.030000000000000249e+00,2.560661466003508480e+01
2.040000000000000036e+00,4.132838564122510938e+00
